section,product_id,default_code,product_name,statut_actuel,recette,source_run,affichage_grille_actuel,lien_shop_sandbox,lien_jpeg_tuile,lien_master_backup,note_dev_existante,decision_moa,motif_principal,commentaire_moa,date_revue_moa,revue_par
validated_storage,8,,Crackers manioc Sainte-Anne,validated_storage,ck_shop_tile_v1.1,reprocess_product8_20260520,fallback master,/shop/crackers-manioc-sainte-anne-8,BO Odoo image_shop_tile (retraité reprocess_product8_20260520) · ref pilote tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/02_product-8_crackers-manioc-sainte-anne.jpg,docs/recette/boutique/reprocess/product-8_image_1920_master_backup_20260520.png,DOCTRINE_V2 — master inchangé · tuile stockée · revue capture MOA obligatoire · aucune promotion auto,validated_storage,a_completer,Cas Crackers maintenu en storage : revue capture grille dédiée obligatoire avant promotion.,2026-05-20,MOA
validated_storage,155,,Shrub agrumes créole,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/shrub-agrumes-creole-155,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/06_product-155_shrub-agrumes-creole.jpg,,DOCTRINE_V2 — validated → validated_storage,validated_grid,OK_visuel,"Packshot bouteille lisible, produit dominant, rendu premium acceptable en grille.",2026-05-20,MOA
validated_storage,177,,Coffret gourmand îles créoles,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/coffret-gourmand-iles-creoles-177,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/16_product-177_coffret-gourmand-iles-creoles.jpg,,Coffret lisible; poids visuel équilibré; rendu premium acceptable.,validated_grid,image_pleine_conforme,"Coffret lisible, image pleine et poids visuel équilibré.",2026-05-20,MOA
validated_storage,178,,Palets manioc croustillants La Platine,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/palets-manioc-croustillants-la-platine-178,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/17_product-178_palets-manioc-croustillants-la-platine.jpg,,Sachet lisible et correctement isolé ; fond baked-in cohérent.,validated_grid,OK_visuel,"Sachet lisible et cohérent, fond intégré sans halo gênant.",2026-05-20,MOA
validated_storage,183,,Chips banane plantain salées,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/chips-banane-plantain-salees-183,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/22_product-183_chips-banane-plantain-salees.jpg,,DOCTRINE_V2 — validated → validated_storage,needs_review_source,source_faible,Source visuelle non alignée avec Chips banane plantain ; ne pas promouvoir en grille.,2026-05-20,MOA
validated_storage,187,,Marinade jerk authentique,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/marinade-jerk-authentique-187,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/26_product-187_marinade-jerk-authentique.jpg,,DOCTRINE_V2 — validated → validated_storage,validated_grid,OK_visuel,"Bouteille claire, produit identifiable, composition stable.",2026-05-20,MOA
validated_storage,470,CK-MO-031,Marinade jerk citron vert,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-031-marinade-jerk-citron-vert-470,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/31_ck-mo-031_marinade-jerk-citron-vert.jpg,,DOCTRINE_V2 — validated → validated_storage,validated_grid,OK_visuel,"Bouteille lisible, rendu proche marinade authentique, promotion acceptable.",2026-05-20,MOA
validated_storage,473,CK-MO-034,Chips patate douce créole,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-034-chips-patate-douce-creole-473,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/34_ck-mo-034_chips-patate-douce-creole.jpg,,DOCTRINE_V2 — validated → validated_storage,needs_review_source,source_faible,Source visuelle non alignée avec Chips patate douce ; redemande source dédiée.,2026-05-20,MOA
validated_storage,474,CK-MO-035,Crackers sarrasin Réunion,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-035-crackers-sarrasin-reunion-474,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/35_ck-mo-035_crackers-sarrasin-reunion.jpg,,Sachet bien isolé; lisible; rendu propre pour tuile commerce.,validated_storage,a_completer,Sachet lisible mais intitulé/source à sécuriser avant affichage grille.,2026-05-20,MOA
validated_storage,475,CK-MO-036,Sauce chien antillaise,validated_storage,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-036-sauce-chien-antillaise-475,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/36_ck-mo-036_sauce-chien-antillaise.jpg,,DOCTRINE_V2 — validated → validated_storage,needs_review_source,source_faible,"Scène trop générique, produit Sauce chien non clairement identifiable.",2026-05-20,MOA
