section,product_id,default_code,product_name,statut_actuel,recette,source_run,affichage_grille_actuel,lien_shop_sandbox,lien_jpeg_tuile,lien_master_backup,note_dev_existante,decision_moa,motif_principal,commentaire_moa,date_revue_moa,revue_par
annexe,7,,Maniocookies salés La Platine,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/maniocookies-sales-la-platine-7,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/01_product-7_maniocookies-sales-la-platine.jpg,,RETRAIT_ALPHA_MOA — retour v1.1 image pleine,validated_storage,produit_flottant,Packshot lisible mais présence commerciale faible ; garder en storage.,2026-05-20,MOA
annexe,153,,Confiture banane flambée,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/confiture-banane-flambee-153,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/04_product-153_confiture-banane-flambee.jpg,,Produit lisible mais petit dans une scène lifestyle,validated_grid,OK_visuel,Pot visible dans une scène maîtrisée ; acceptable en grille avec réserve mineure.,2026-05-20,MOA
annexe,158,,Sauce piment cadji,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/sauce-piment-cadji-158,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/09_product-158_sauce-piment-cadji.jpg,,Bouteille claire et vendeuse ; réserve légère sur scène très présente.,validated_grid,OK_visuel,Bouteille piment nette et dominante ; promotion grille acceptable.,2026-05-20,MOA
annexe,159,,Rougail épices Réunion,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,fallback master,/shop/rougail-epices-reunion-159,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/10_product-159_rougail-epices-reunion_corrige.jpg,,Lot M corrigé MOA,validated_grid,image_pleine_conforme,"Image pleine, composition lisible, rendu premium.",2026-05-20,MOA
annexe,160,,Chutney mangue verte,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,fallback master,/shop/chutney-mangue-verte-160,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/11_product-160_chutney-mangue-verte_corrige.jpg,,Lot M corrigé MOA,validated_grid,OK_visuel,Pots visibles et image pleine ; promotion acceptable malgré densité modérée.,2026-05-20,MOA
annexe,163,,Mix beignets manioc,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/mix-beignets-manioc-163,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/14_product-163_mix-beignets-manioc.jpg,,RETRAIT_ALPHA_MOA — retour v1.1 image pleine,needs_review_source,source_faible,Source trop proche maniocookies ; Mix beignets non identifiable.,2026-05-20,MOA
annexe,164,,Miel créole baie rose,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/miel-creole-baie-rose-164,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/15_product-164_miel-creole-baie-rose.jpg,,Pot identifiable dans une scène chaude ; étiquette peu lisible,validated_grid,OK_visuel,Pot miel identifiable dans scène premium ; réserve étiquette acceptable.,2026-05-20,MOA
annexe,179,,Mélange épices caraïbes,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/melange-epices-caraibes-179,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/18_product-179_melange-epices-caraibes.jpg,,Ambiance attractive ; réserve sur identification exacte du produit.,needs_review_source,source_faible,Ambiance attractive mais produit exact insuffisamment identifiable.,2026-05-20,MOA
annexe,180,,Tartinade coco citron vert,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,fallback master,/shop/tartinade-coco-citron-vert-180,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/19_product-180_tartinade-coco-citron-vert_corrige.jpg,,Lot M corrigé MOA,needs_review_source,source_faible,Scène plage/boissons trop éloignée du SKU tartinade.,2026-05-20,MOA
annexe,181,,Assortiment apéritif créole,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/assortiment-aperitif-creole-181,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/20_product-181_assortiment-aperitif-creole.jpg,,Assortiment lisible et cohérent ; réserve sur densité de scène.,validated_grid,OK_visuel,"Assortiment cohérent avec le SKU, scène lisible en grille.",2026-05-20,MOA
annexe,185,,Confiture fruits de la passion,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/confiture-fruits-de-la-passion-185,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/24_product-185_confiture-fruits-de-la-passion.jpg,,Pot identifiable mais petit dans la scène,needs_review_source,source_faible,Visuel trop proche d'autres confitures ; redemande source dédiée.,2026-05-20,MOA
annexe,186,,Trio sirops des Antilles,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/trio-sirops-des-antilles-186,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/25_product-186_trio-sirops-des-antilles.jpg,,Trio cohérent et chaleureux ; réserve sur lisibilité des étiquettes.,validated_grid,OK_visuel,Trio de sirops cohérent avec le SKU et lisible.,2026-05-20,MOA
annexe,467,CK-MO-028,Sauce scotch bonnet créole,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-028-sauce-scotch-bonnet-creole-467,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/28_ck-mo-028_sauce-scotch-bonnet-creole.jpg,,Bouteille lisible et vendeuse ; réserve légère sur scène très présente.,validated_grid,OK_visuel,"Bouteille sauce piment lisible, rendu vendeur.",2026-05-20,MOA
annexe,468,CK-MO-029,Confiture goyave rose,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,fallback master,/shop/ck-mo-029-confiture-goyave-rose-468,tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/29_ck-mo-029_confiture-goyave-rose.jpg,,Pot identifiable mais petit ; acceptable avec réserve de poids visuel.,needs_review_source,source_faible,Visuel confiture trop proche d'autres SKU ; source dédiée requise.,2026-05-20,MOA
